s550,bn
*[³ìyû¡à>,ওমিক্রোন
*[³ìyû¡à>>à,ওমিক্রোননা
*[³ìyû¡à>Kã,ওমিক্রোনগী
*[³ìyû¡à>ƒKã,ওমিক্রোনদগী
*[³ìyû¡à>ƒKãÎå,ওমিক্রোনদগীসু
*[³ìyû¡àà,ওমিক্রোন্না
*[¹&>ìt¡Î>,ওরিএনতেসন
*[¹&ì”zi¡,ওরিএন্তেট
*[¹&ì”zÎ>,ওরিএন্তেসন
*[¹[\ì>º,ওরিজিনেল
*[¹\ì>º,ওরিজনেল
*[¹Èà,ওরিষা
*[¹Èà>à,ওরিষানা
*[¹ÈàKã,ওরিষাগী
*[¹Úà,ওরিয়া
*[¹ìÚì–i¡º,ওরিয়েন্টেল
*[¹ìÚì”zÎ>,ওরিয়েন্তেসন
*[¹ìÚì”zƒ,ওরিয়েন্তেদ
*[º,ওলি
*[º>à,ওলিনা
*[ºKã,ওলিগী
*[º[´šA,ওলিম্পিক
*[º[´šA¡,ওলিম্পিক
*[º[´šB¡ã,ওলিম্পিক্কী
*[º[´šB¡ãƒ³A¡,ওলিম্পিক্কীদমক
*[º[´šG,ওলিম্পিক্স
*[º[´šG>à,ওলিম্পিক্সনা
*[º[´šGA¡à,ওলিম্পিক্সকা
*[º[´šGA¡ã,ওলিম্পিক্সকী
*[º[´šG[>¡,ওলিম্পিক্সনি
*[º[´šGt¡[ƒ,ওলিম্পিক্সতদি
*[º[´šGt¡à,ওলিম্পিক্সতা
*[º[´šG¡,ওলিম্পিক্স
*[º[´šv¡û¡à,ওলিম্পিক্তা
*[º[´šÒv¡û¡à,ওলিম্পিহক্তা
*[º[´šÚ>,ওলিম্পিয়ন
*[º[´šÚà>,ওলিম্পিয়ান
*[º[´šÚà>[Å},ওলিম্পিয়ানশিং
*[º[´šÚà>[Å}KÎå,ওলিম্পিয়ানশিংগসু
*[º[´šÚà>[Å}Kã,ওলিম্পিয়ানশিংগী
*[º[´šÚà>[Å}Kãƒ³A¡,ওলিম্পিয়ানশিংগীদমক
*[º[´šÚà>[Å}¤å,ওলিম্পিয়ানশিংবু
*[º[´šÚà>[Å}¤åÎå,ওলিম্পিয়ানশিংবুসু
*[º³[šA¡,ওলিমপিক
*[º³[šB¡ã,ওলিমপিক্কী
*[º³[šG,ওলিমপিক্স
*[º³[šGt¡à,ওলিমপিক্সতা
*[º³[šv¡û¡à,ওলিমপিক্তা
*[º³[šÚà>[Å},ওলিমপিয়ানশিং
*[º³[šÚà>[Å}Kà,ওলিমপিয়ানশিংগা
*[Âi¡Wå¡ƒ,ওল্টিচুদ
*[Å},ওশিং
*[Å}>à,ওশিংনা
*[Å}KÎå,ওশিংগসু
*[Å}Kà,ওশিংগা
*[Å}Kã,ওশিংগী
*[Å}ƒKã,ওশিংদগী
*[Å}ƒà,ওশিংদা
*[Ê>,ওষ্টিন
*[Ê>>à,ওষ্টিননা
*[Î>,ওসিন
*[Îì\i¡t¡à,ওসিজেটতা
*[Ñ|ÚàKã,ওস্ত্রিয়াগী
*[ó[ÎìÚº[Å},ওফিসিয়েলশিং
*[ó¡[Î&º,ওফিসিএল
*[ó¡[Î&º[Å},ওফিসিএলশিং
*[ó¡[Î&º[Å}>Îå,ওফিসিএলশিংনসু
*[ó¡[Î&º[Å}>à,ওফিসিএলশিংনা
*[ó¡[Î&º[Å}KÎå,ওফিসিএলশিংগসু
*[ó¡[Î&º[Å}Kà,ওফিসিএলশিংগা
*[ó¡[Î&º[Å}Kã,ওফিসিএলশিংগী
*[ó¡[Î&º[Å}¤å,ওফিসিএলশিংবু
*[ó¡[Î&º[Å}Îå,ওফিসিএলশিংসু
*[ó¡[Î&º[Å}ƒÎå,ওফিসিএলশিংদসু
*[ó¡[Î&º[Å}ƒà,ওফিসিএলশিংদা
*[ó¡[Îº,ওফিসিল
*[ó¡[ÎìÚ[Å},ওফিসিয়েশিং
*[ó¡[ÎìÚº,ওফিসিয়েল
*[ó¡[ÎìÚºKà,ওফিসিয়েলগা
*[ó¡[ÎìÚºKã,ওফিসিয়েলগী
*[ó¡[ÎìÚº[Å},ওফিসিয়েলশিং
*[ó¡[ÎìÚº[Å}>à,ওফিসিয়েলশিংনা
*[ó¡[ÎìÚº[Å}KÎå,ওফিসিয়েলশিংগসু
*[ó¡[ÎìÚº[Å}Kà,ওফিসিয়েলশিংগা
*[ó¡[ÎìÚº[Å}Kã,ওফিসিয়েলশিংগী
*[ó¡[ÎìÚº[Å}¤å,ওফিসিয়েলশিংবু
*[ó¡[ÎìÚº[Å}Îå,ওফিসিয়েলশিংসু
*[ó¡[ÎìÚº[Å}ƒà,ওফিসিয়েলশিংদা
*[ó¡Î,ওফিস
*[ó¡Î>à,ওফিসনা
*[ó¡ÎA¡à,ওফিসকা
*[ó¡ÎA¡ã,ওফিসকী
*[ó¡Î[Å},ওফিসশিং
*[ó¡Î[Å}>à,ওফিসশিংনা
*[ó¡Î[Å}Kã,ওফিসশিংগী
*[ó¡Î[Å}[ƒ,ওফিসশিংদি
*[ó¡Î[Å}Îå,ওফিসশিংসু
*[ó¡Î[Å}ƒKã,ওফিসশিংদগী
*[ó¡Î[Å}ƒÎå,ওফিসশিংদসু
*[ó¡Î[Å}ƒà,ওফিসশিংদা
*[ó¡Ît¡Kã,ওফিসতগী
*[ó¡Ît¡Îå,ওফিসতসু
*[ó¡Ît¡à,ওফিসতা
*[ó¡Î¹,ওফিসর
*[ó¡Î¹[Å}Kã,ওফিসরশিংগী
*[ó¡Î¹[Å}Îå,ওফিসরশিংসু
*[ó¡Î¹[Å}ƒà,ওফিসরশিংদা
*[ó¡ÎÎå,ওফিসসু
*[ó¡Îà¹,ওফিসার
*[ó¡Îà¹>à,ওফিসারনা
*[ó¡Îà¹Kà,ওফিসারগা
*[ó¡Îà¹Kã,ওফিসারগী
*[ó¡Îà¹[Å},ওফিসারশিং
*[ó¡Îà¹[Å}>à,ওফিসারশিংনা
*[ó¡Îà¹[Å}KÎå,ওফিসারশিংগসু
*[ó¡Îà¹[Å}Kà,ওফিসারশিংগা
*[ó¡Îà¹[Å}Kã,ওফিসারশিংগী
*[ó¡Îà¹[Å}¤å,ওফিসারশিংবু
*[ó¡Îà¹[Å}Îå,ওফিসারশিংসু
*[ó¡Îà¹[Å}ƒKã,ওফিসারশিংদগী
*[ó¡Îà¹[Å}ƒà,ওফিসারশিংদা
*[ó¡Îà¹Î,ওফিসারস
*[ó¡Îà¹ÎA¡ã,ওফিসারসকী
*[ó¡Îà¹Îå,ওফিসারসু
*[ó¡Îà¹ƒà,ওফিসারদা
*[ó¡Òü,ওফিই
*[óÎà¹,ওফিসার
*[œ[ÎÚà>[Å}Îå,ওপ্তিসিয়ানশিংসু
*[œìA¡º,ওপ্তিকেল
*[šÚ³,ওপিয়ম
*[ƒ*,ওদিও
*[ƒ*Nøà[ó¡Kã,ওদিওগ্রাফিগী
*[ƒ;,ওদিৎ
*[ƒ;A¡ã,ওদিৎকী
*[ƒi¡,ওদিট
*[ƒi¡[¹Ú³ƒà,ওদিটরিয়মদা
*[ƒi¡¹,ওদিটর
*[ƒ¢>à[¹,ওর্দিনারি
*[ƒ¢>à,ওর্দিনান্স
*[ƒ¢>àA¡ã,ওর্দিনান্সকী
*[ƒ¢>à[Å},ওর্দিনান্সশিং
*[ƒ¢ì>[i¡},ওর্দিনেটিং
*[ƒ¢ì>[t¡},ওর্দিনেতিং
*[ƒ¢ì>i¡¹,ওর্দিনেটর
*[ƒ¢ì>i¡¹>à,ওর্দিনেটরনা
*[ƒ¢ì>t¡¹,ওর্দিনেতর
*[ƒ¢ì>t¡¹[Å},ওর্দিনেতরশিং
*[ƒ¢ì>Î>,ওর্দিনেসন
*[ƒ¢ì>Î>Kã,ওর্দিনেসনগী
*[ƒ¢ì>ìi¡ƒ,ওর্দিনেটেদ
*[ƒì>i¡¹,ওদিনেটর
*[ƒìi¡à[¹Ú³,ওদিটোরিয়ম
*[ƒìi¡à[¹Ú³ƒà,ওদিটোরিয়মদা
*[ƒìt¡à[¹³ƒà,ওদিতোরিমদা
*[ƒìt¡à[¹Ú³,ওদিতোরিয়ম
*[ƒìt¡à[¹Ú³ƒà,ওদিতোরিয়মদা
*[ƒìt¡àà[¹Ú³ƒà,ওদিতোারিয়মদা
*\Kã,ওজগী
*\à,ওজা
*\àKã,ওজাগী
*\à[Å},ওজাশিং
*\à[Å}>Îå,ওজাশিংনসু
*\à[Å}>à,ওজাশিংনা
*\à[Å}Kà,ওজাশিংগা
*\à[Å}Kã,ওজাশিংগী
*\à[Å}¤å,ওজাশিংবু
*\à[Å}ƒà,ওজাশিংদা
*c¡[Å}>à,ওঝশিংনা
*c¡à,ওঝা
*c¡àKã,ওঝাগী
*c¡à[Å},ওঝাশিং
*c¡à[Å}>Îå,ওঝাশিংনসু
*c¡à[Å}>à,ওঝাশিংনা
*c¡à[Å}Kà,ওঝাশিংগা
*c¡à[Å}Kã,ওঝাশিংগী
*c¡à[Å}¤å,ওঝাশিংবু
*c¡à[Å}ƒ>à,ওঝাশিংদনা
*c¡à[Å}ƒà,ওঝাশিংদা
*yû¡³,ওক্রম
*yû¡³>à,ওক্রমনা
*yû¡³Kã,ওক্রমগী
*},ওং
*}Kà,ওংগা
*}¤à³,ওংবাম
*}¤ã,ওংবী
*àÒü[Î>à,ওৱাইসিনা
*,ওন্ন
*>à,ওন্ননা
*¤Kã,ওন্নবগী
*¤à,ওন্নবা
*¹,ওন্নর
*ì¹[¹³,ওন্নরেরিম
*ì¹[¹Ú³,ওন্নরেরিয়ম
*¤\à[®¢¡},ওবজার্ভিং
*¤\à¤¹,ওবজাবর
*¤\à®¡¹,ওবজাভর
*¤\à®¡¹[Å},ওবজাভরশিং
*¤\à®¡¹[Å}Kà,ওবজাভরশিংগা
*¤\à®¡¹[Å}ƒà,ওবজাভরশিংদা
*¤\à®¢¡¹,ওবজার্ভর
*¤\à®¢¡¹[Å},ওবজার্ভরশিং
*¤\à¹ì®¡Î>,ওবজারভেসন
*¤\àì¢®¡Î>Kà,ওবজার্ভেসনগা
*¤\àì¤¢Î>,ওবজার্বেসন
*¤\àì®¡¢Î>ƒà,ওবজার্ভেসনদা
*¤\àì®¢¡Î>,ওবজার্ভেসন
*¤\àì®¢¡Î>ƒà,ওবজার্ভেসনদা
*¤Îìt¡[yA¡,ওবসতেত্রিক
*¤à\®¡¹,ওবাজভর
*¤à³à,ওবামা
*¤å,ওবু
*¤ì\C,ওবজেক্ট
*¤ì\G>[Å},ওবজেক্সনশিং
*¤ì\[C¤Î,ওবজেক্টিবস
*¤ì\[C®¡,ওবজেক্টিভ
*¤ì\[v¡û¡¤,ওবজেক্তিব
*¤øàìƒà¹>à,ওব্রাদোরনা
*®,ওভ
*®¡¹,ওভর
*®¡¹*º,ওভরওল
*®¡¹Kã,ওভরগী
*®¡¹ëÒƒ,ওভরহেদ
*®¡¹ƒà,ওভরদা
*³,ওম
*³à>ƒà,ওমানদা
*³à>ƒå¹à¹,ওমানদুরার
*³à¹,ওমার
*³à¹Kã,ওমারগী
*¹,ওর
*¹=à[³A¡,ওরথামিক
*¹[¤ìi¡º,ওরবিটেল
*¹àA¡à[–ƒ,ওরাকান্দি
*¹àA¡à[–ƒKã,ওরাকান্দিগী
*¹àA¡à[–ƒƒà,ওরাকান্দিদা
*¹ç¡ì>àìƒàÒü,ওরুনোদোই
*¹ìº,ওরলেন্স
*¹ó¡à¹ì>Îƒà,ওরফারনেসদা
*º,ওল
*ºKã,ওলগী
*ºÒ>[¤Úå,ওলহনবিয়ু
*ºÒ¤à,ওলহন্নবা
*ºÒüÒ¤Kã,ওলইহন্নবগী
*ºà},ওলাং
*ºàó¡,ওলাফ
*ºàó¡šå,ওলাফপু
*ºôt¡¹ì>i¡,ওল্তরনেট
*ÀA¡šà,ওল্লকপা
*À¤[ƒ,ওল্লবদি
*Àà}=àKã,ওল্লাংথাগী
*Á¡,ওল্ড
*Åà},ওশাং
*Êöà®¡à,ওষ্ট্রাভা
*Êöà®¡àƒà,ওষ্ট্রাভাদা
*Î³à[>Úà,ওসমানিয়া
*ÎàA¡à>à,ওসাকানা
*ÑHà¹,ওস্কার
*Òü,ওই
*Òü>,ওইন
*Òü>>[>¡,ওইনননি
*Òü>>¤Kã,ওইননবগী
*Òü>>¤Îå,ওইননবসু
*Òü>>¤à,ওইননবা
*Òü>[>,ওইননি
*Òü>[ƒ,ওইনদি
*Òü>¤Kã,ওইনবগী
*Òü>¤Kãƒ³A¡,ওইনবগীদমক
*Òü>¤[>¡,ওইনবনি
*Òü>¤à,ওইনবা
*Òü>³A¡,ওইনমক
*Òü>Îå,ওইনসু
*Òü>à,ওইনা
*Òü>à[\[¹¤à³,ওইনাজিরিবাম
*Òü>à³,ওইনাম
*Òü>à³>Îå,ওইনামনসু
*Òü>à³>à,ওইনামনা
*Òü>à³Kã,ওইনামগী
*Òü>à³ƒà,ওইনামদা
*Òü>à¹,ওইনার
*Òü>àà,ওইনাা
*ÒüJø[¤,ওইখ্রবি
*ÒüJø¤[>¡,ওইখ্রবনি
*ÒüJø¤[Å},ওইখ্রবশিং
*ÒüJø¤[Å}>à,ওইখ্রবশিংনা
*ÒüJø¤[Å}Kã,ওইখ্রবশিংগী
*ÒüJø¤à,ওইখ্রবা
*ÒüJø¤ã,ওইখ্রবী
*ÒüK[>,ওইগনি
*ÒüK[>¡,ওইগনি
*ÒüKìƒï[¹,ওইগদৌরি
*ÒüKìƒï[¹¡,ওইগদৌরি
*ÒüKìƒï[¹¤[>¡,ওইগদৌরিবনি
*ÒüKìƒï[¹¤[Å}Kà,ওইগদৌরিবশিংগা
*ÒüKìƒï[¹¤[Å}Kã,ওইগদৌরিবশিংগী
*ÒüKìƒï[¹¤à,ওইগদৌরিবা
*ÒüKƒ¤>à,ওইগদবনা
*ÒüKƒ¤[>,ওইগদবনি
*ÒüKƒ¤[>¡,ওইগদবনি
*ÒüKƒ¤[Å},ওইগদবশিং
*ÒüKƒ¤[Å}Kã,ওইগদবশিংগী
*ÒüKƒ¤à,ওইগদবা
*ÒüKƒìK,ওইগদগে
*ÒüK‰à,ওইগদ্রা
*Òü[>}R¡àÒü[>,ওইনিংঙাইনি
*Òü[>}¤à,ওইনিংবা
*Òü[J,ওইখি
*Òü[J[‰¤à,ওইখিদ্রিবা
*Òü[J¡,ওইখি
*Òü[J¤>à,ওইখিবনা
*Òü[J¤Kà,ওইখিবগা
*Òü[J¤Kã,ওইখিবগী
*Òü[J¤P¡³,ওইখিবগুম
*Òü[J¤[>¡,ওইখিবনি
*Òü[J¤[Å},ওইখিবশিং
*Òü[J¤[Å}Kã,ওইখিবশিংগী
*Òü[J¤à,ওইখিবা
*Òü[J¤ã,ওইখিবী
*Òü[J¤ƒKã,ওইখিবদগী
*Òü[J¤ƒå,ওইখিবদু
*Òü[Jìƒ¡,ওইখিদে
*Òü[J‰¤[>¡,ওইখিদ্রবনি
*Òü[¤[Å},ওইবিশিং
*Òü[¤[Å}>à,ওইবিশিংনা
*Òü[¤[Å}ƒà,ওইবিশিংদা
*Òü[³K[>¡,ওইমিন্নগনি
*Òü[³ƒå>à,ওইমিন্নদুনা
*Òü[¹,ওইরি
*Òü[¹¡,ওইরি
*Òü[¹¡¡,ওইরি
*Òü[¹¤,ওইরিব
*Òü[¹¤[>¡,ওইরিবনি
*Òü[¹¤[Å},ওইরিবশিং
*Òü[¹¤[Å}>Îå,ওইরিবশিংনসু
*Òü[¹¤[Å}>à,ওইরিবশিংনা
*Òü[¹¤[Å}Kà,ওইরিবশিংগা
*Òü[¹¤[Å}Kã,ওইরিবশিংগী
*Òü[¹¤[Å}Kãƒ³A¡,ওইরিবশিংগীদমক
*Òü[¹¤[Å}¤å,ওইরিবশিংবু
*Òü[¹¤[Å}ƒà,ওইরিবশিংদা
*Òü[¹¤à,ওইরিবা
*Òü[¹¤ã,ওইরিবী
*Òü[¹¤ì>à,ওইরিবনো
*Òü[¹îR¡,ওইরিঙৈ
*Òü[¹îR¡ƒà,ওইরিঙৈদা
*Òü[ÅÀA¡š[Îƒà,ওইশিল্লকপসিদা
*Òü[ÅÀA¡šƒKã,ওইশিল্লকপদগী
*Òü[‰,ওইদ্রি
*Òü[‰¤à,ওইদ্রিবা
*Òü[‰îR¡,ওইদ্রিঙৈ
*Òü[‰îR¡Kã,ওইদ্রিঙৈগী
*Òü\¤à,ওইজবা
*Òü\¹¤Îå,ওইজরবসু
*ÒüKã,ওইৱগী
*Òüà,ওইৱা
*Òü>¤à,ওইন্ননবা
*Òü¡,ওই
*Òü¡¡,ওই
*Òü¤,ওইব
*Òü¤>à,ওইবনা
*Òü¤Kà,ওইবগা
*Òü¤Kã,ওইবগী
*Òü¤Kãƒ³A¡,ওইবগীদমক
*Òü¤P¡³,ওইবগুম
*Òü¤[>¡,ওইবনি
*Òü¤[J¤Kà,ওইবখিবগা
*Òü¤[Å},ওইবশিং
*Òü¤[Å}>Îå,ওইবশিংনসু
*Òü¤[Å}>à,ওইবশিংনা
*Òü¤[Å}Kà,ওইবশিংগা
*Òü¤[Å}Kã,ওইবশিংগী
*Òü¤[Å}Kãƒ³A¡,ওইবশিংগীদমক
*Òü¤[Å}t¡³A¡,ওইবশিংতমক
*Òü¤[ƒ,ওইবদি
*Òü¤t¡à,ওইবতা
*Òü¤à,ওইবা
*Òü¤àKã,ওইবাগী
*Òü¤àà,ওইবাা
*Òü¤ã[Å},ওইবীশিং
*Òü¤ã[Å}>à,ওইবীশিংনা
*Òü¤ã[Å}¤å,ওইবীশিংবু
*Òü¤ã[Å}ƒà,ওইবীশিংদা
*Òü¤ãÚå¡,ওইবীয়ু
*Òü¤å,ওইবু
*Òü¤ì,ওইবে
*Òü¤øà,ওইব্রা
*Òü¤ƒKã,ওইবদগী
*Òü¤ƒà,ওইবদা
*Òü¤ƒå,ওইবদু
*Òü³ã[J¡,ওইমীন্নখি
*Òü³ã¤à,ওইমীন্নবা
*Òü¹>Îå,ওইরনসু
*Òü¹>Îå¡,ওইরনসু
*Òü¹A¡>¤Kãƒ³A¡,ওইরকনবগীদমক
*Òü¹A¡[J,ওইরকখি
*Òü¹A¡[J¡,ওইরকখি
*Òü¹A¡[J¤Kã,ওইরকখিবগী
*Òü¹A¡[J¤[>¡,ওইরকখিবনি
*Òü¹A¡[J¤[Å},ওইরকখিবশিং
*Òü¹A¡[º¡,ওইরকলি
*Òü¹A¡ºK[>¡,ওইরকলগনি
*Òü¹A¡º¤[ƒ,ওইরকলবদি
*Òü¹A¡º¤à,ওইরকলবা
*Òü¹A¡Î>å,ওইরকসনু
*Òü¹A¡Òü¡,ওইরকই
*Òü¹A¡š>à,ওইরকপনা
*Òü¹A¡šKà,ওইরকপগা
*Òü¹A¡šKã,ওইরকপগী
*Òü¹A¡š[>,ওইরকপনি
*Òü¹A¡š[>¡,ওইরকপনি
*Òü¹A¡š[Å},ওইরকপশিং
*Òü¹A¡š[Î,ওইরকপসি
*Òü¹A¡šà,ওইরকপা
*Òü¹A¡šƒKã,ওইরকপদগী
*Òü¹A¡šƒKã[>,ওইরকপদগীনি
*Òü¹A¡šƒà,ওইরকপদা
*Òü¹AÃ¡K[>¡,ওইরক্লগনি
*Òü¹AÃ¡¤[ƒ,ওইরক্লবদি
*Òü¹AÃ¡¤Îå,ওইরক্লবসু
*Òü¹AÃ¡¤à,ওইরক্লবা
*Òü¹A—¡¤à,ওইরক্নবা
*Òü¹B¡[>,ওইরক্কনি
*Òü¹B¡[>¡,ওইরক্কনি
*Òü¹B¡ƒ¤[>¡,ওইরক্কদবনি
*Òü¹B¡ƒ¤[Å},ওইরক্কদবশিং
*Òü¹B¡ƒ¤à,ওইরক্কদবা
*Òü¹B¡ƒìK,ওইরক্কদগে
*Òü¹K[>,ওইরগনি
*Òü¹K[>¡,ওইরগনি
*Òü¹Kà,ওইরগা
*Òü¹[AÃ¡,ওইরক্লি
*Òü¹[AÃ¡¡,ওইরক্লি
*Òü¹[AÃ¡¤[Å},ওইরক্লিবশিং
*Òü¹[AÃ¡¤[Å}Kã,ওইরক্লিবশিংগী
*Òü¹[AÃ¡¤à,ওইরক্লিবা
*Òü¹[J¤[Å},ওইরখিবশিং
*Òü¹[J¤à,ওইরখিবা
*Òü¹[´Ã¤ì>à,ওইরম্লিবনো
*Òü¹v¡ûå¡>à,ওইরক্তুনা
*Òü¹à,ওইরপ্পা
*Òü¹ƒKã,ওইরপ্পদগী
*Òü¹¤[Å},ওইরবশিং
*Òü¹¤[Å}Kã,ওইরবশিংগী
*Òü¹¤[Å}ƒà,ওইরবশিংদা
*Òü¹¤[ƒ,ওইরবদি
*Òü¹¤Îå,ওইরবসু
*Òü¹¤à,ওইরবা
*Òü¹¤ã,ওইরবী
*Òü¹³K[>,ওইরমগনি
*Òü¹³[J¡,ওইরমখি
*Òü¹´¬>à,ওইরম্বনা
*Òü¹´¬[>¡,ওইরম্বনি
"*Òü¹´¬[>¡""ƒå¤å",ওইরম্বনিঅদুবু
*Òü¹´¬[Å},ওইরম্বশিং
*Òü¹´¬à,ওইরম্বা
*Òü¹´¬ã,ওইরম্বী
*Òü¹´¬ƒKã,ওইরম্বদগী
*Òü¹´¬ƒå,ওইরম্বদু
*Òü¹´¶ã,ওইরম্মী
*Òü¹´¶ã¡,ওইরম্মী
*Òü¹Î>å,ওইরসনু
*Òü¹Î>å¡,ওইরসনু
*Òü¹ìK,ওইরগে
*Òü¹ìv¡ûö¡¡,ওইরক্ত্রে
*Òü¹ì´Ã,ওইরম্লে
*Òü¹š,ওইরপ
*Òü¹š—à,ওইরপ্না
*Òü¹ƒå>à,ওইরদুনা
*Òüº,ওইল
*ÒüºKã,ওইলগী
*ÒüºÎ,ওইলস
*ÒüºƒKã,ওইলদগী
*ÒüºƒKã>à,ওইলদগীনা
*ÒüÎ>å,ওইসনু
*ÒüÒ>K[>,ওইহনগনি
*ÒüÒ>K[>¡,ওইহনগনি
*ÒüÒ>Kìƒï[¹¡,ওইহনগদৌরি
*ÒüÒ>Kƒ¤[>,ওইহনগদবনি
*ÒüÒ>Kƒ¤[>¡,ওইহনগদবনি
*ÒüÒ>[Å¡,ওইহনশি
*ÒüÒ>[Î,ওইহনসি
*ÒüÒ>¤Kà,ওইহনবগা
*ÒüÒ>¤Kã,ওইহনবগী
*ÒüÒ>¤Kãƒ³A¡,ওইহনবগীদমক
*ÒüÒ>¤Kãƒ³A¡Îå,ওইহনবগীদমকসু
*ÒüÒ>¤[>¡,ওইহনবনি
*ÒüÒ>¤[Î[>¡,ওইহনবসিনি
*ÒüÒ>¤t¡à,ওইহনবতা
*ÒüÒ>¤Îå,ওইহনবসু
*ÒüÒ>¤à,ওইহনবা
*ÒüÒ>¤ã>¤à,ওইহনবীনবা
*ÒüÒ>¤ƒà,ওইহনবদা
*ÒüÒ>ƒå>à,ওইহনদুনা
*ÒüÒ[}¤Kã,ওইহন্নিংবগী
*ÒüÒ[À,ওইহল্লি
*ÒüÒ[À¡,ওইহল্লি
*ÒüÒ>¤à,ওইহন্ননবা
*ÒüÒ¤Kã,ওইহন্নবগী
*ÒüÒ¤Kã[>¡,ওইহন্নবগীনি
*ÒüÒ¤Kãƒ³A¡,ওইহন্নবগীদমক
*ÒüÒ¤[>¡,ওইহন্নবনি
*ÒüÒ¤Îå,ওইহন্নবসু
*ÒüÒ¤à,ওইহন্নবা
*ÒüÒÀA¡[J¤[>¡,ওইহল্লকখিবনি
*ÒüÒÀA¡š[>,ওইহল্লকপনি
*ÒüÒÀA¡š[Å}Kã,ওইহল্লকপশিংগী
*ÒüÒÀA¡šà,ওইহল্লকপা
*ÒüÒÀA—¡¤à,ওইহল্লক্নবা
*ÒüÒÀB¡[>,ওইহল্লক্কনি
*ÒüÒÀB¡ƒ¤[Å},ওইহল্লক্কদবশিং
*ÒüÒÀK[>,ওইহল্লগনি
*ÒüÒÀK[>¡,ওইহল্লগনি
*ÒüÒÀ[AÃ¡¤à,ওইহল্লক্লিবা
*ÒüÒÀ[Î,ওইহল্লসি
*ÒüÒÀ[Î¡,ওইহল্লসি
*ÒüÒìÀ,ওইহল্লে
*ÒüÒìÀ¡,ওইহল্লে
*ÒüÒìÀàÒüƒ¤[>,ওইহল্লোইদবনি
*ÒüÒìÀàÒüƒ¤[>¡,ওইহল্লোইদবনি
*ÒüÒ–ƒ>¤à,ওইহন্দনবা
*ÒüÒ–ƒå>à,ওইহন্দুনা
*ÒüÚå,ওইয়ু
*Òüì=àA¡ºì¹àÒü¡,ওইথোকলরোই
*Òüì=àA¡šÎå,ওইথোকপসু
*Òüì=àA¡šà,ওইথোকপা
*Òüì=àv¡û¡¤[>¡,ওইথোক্তবনি
*Òüì=àv¡û¡¤à,ওইথোক্তবা
*Òüì=àìAÃ¡àÒü,ওইথোক্লোই
*Òüì=àìAÃ¡àÒü¡,ওইথোক্লোই
*Òüì=àìv¡û¡¡,ওইথোক্তে
*ÒüìJø,ওইখ্রে
*ÒüìJø¡,ওইখ্রে
*ÒüìK¹à,ওইগেরা
*Òüì¹,ওইরে
*Òüì¹¡,ওইরে
*Òüì¹¡¡,ওইরে
*Òüì¹à,ওইরো
*Òüì¹àÒü,ওইরোই
*Òüì¹àÒü¡,ওইরোই
*Òüì¹àÒüìƒï[¹¡,ওইরোইদৌরি
*ÒüìÒï[JK[>¡,ওইহৌখিগনি
*ÒüìÒï[¹¤à,ওইহৌরিবা
*ÒüìÒï¤à,ওইহৌবা
*ÒüìÒï¹K[>,ওইহৌরগনি
*ÒüìÒï¹K[>¡,ওইহৌরগনি
*ÒüìÒï¹¤à,ওইহৌরবা
*ÒüìÒï¹¤ã[Å}ƒà,ওইহৌরবীশিংদা
*Òüìƒ,ওইদে
*Òüìƒ¡,ওইদে
*Òüì‰¡,ওইদ্রে
*Òüƒ,ওইদ
*Òüƒ¤à,ওইদবা
*Òüƒå>,ওইদুন
*Òüƒå>Îå,ওইদুনসু
*Òüƒå>à,ওইদুনা
*Òüƒå>àà,ওইদুনাা
*Òüƒåå>à,ওইদুুনা
*Òü‰¤Îå,ওইদ্রবসু
*Òü‹å>à,ওইধুনা
*ëv¡û¡à®¡¹,ওক্তোভর
*ì=>[t¡ìA¡ìt¡ƒ,ওথেনতিকেতেদ
*ì=[¹[t¡,ওথেরিতি
*ì=à[¹[i¡\>à,ওথোরিটিজনা
*ì=à[¹[i¡\t¡à,ওথোরিটিজতা
*ì=à[¹[t¡,ওথোরিতি
*ì=à[¹[t¡>Îå,ওথোরিতিনসু
*ì=à[¹[t¡>à,ওথোরিতিনা
*ì=à[¹[t¡Kà,ওথোরিতিগা
*ì=à[¹[t¡Kã,ওথোরিতিগী
*ì=à[¹[t¡[Å},ওথোরিতিশিং
*ì=à[¹[t¡[Å}>Îå,ওথোরিতিশিংনসু
*ì=à[¹[t¡[Å}>à,ওথোরিতিশিংনা
*ì=à[¹[t¡[Å}Kà,ওথোরিতিশিংগা
*ì=à[¹[t¡[Å}Kã,ওথোরিতিশিংগী
*ì=à[¹[t¡[Å}¤å,ওথোরিতিশিংবু
*ì=à[¹[t¡[Å}Îå,ওথোরিতিশিংসু
*ì=à[¹[t¡[Å}ƒà,ওথোরিতিশিংদা
*ì=à[¹[t¡[Å}ƒàà,ওথোরিতিশিংদাা
*ì=à[¹[t¡\>à,ওথোরিতিজনা
*ì=à[¹[t¡\[Å}>à,ওথোরিতিজশিংনা
*ì=à[¹[t¡¤å,ওথোরিতিবু
*ì=à[¹[t¡Îå,ওথোরিতিসু
*ì=à[¹[t¡ƒKã,ওথোরিতিদগী
*ì=à[¹[t¡ƒà,ওথোরিতিদা
*ì=à¹[t¡Kã,ওথোরতিগী
*ì=à¹àÒü\,ওথোরাইজ
*ì=à¹àÒüì\Î>,ওথোরাইজেসন
